"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Undercovertourist.com","","12505692","Save money on Disney's Animal Kingdom Lodge Resort! 180x150","Cozy up to savings and save money on Disney's Animal Kingdom Lodge Resort - a frog family favorite!","undercover tourist, hotels, resorts, disney's animal kingdom lodge, villas, walt disney world, discounts, family vacations, disney's animal kingdom, magic kingdom, epcot, disney's hollywood studios, lake buena vista, florida, theme parks, travel, tourism, amusement parks, save money","Banner","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.dpbolvw.net/click-101693488-12505692"" target=""_top""> <img src=""https://www.tqlkg.com/image-101693488-12505692"" width=""180"" height=""150"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57586583?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12505692","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12505706","Save money on Disney's Art of Animation Resort! 160x600","Cozy up to savings and save money on Disney's Art of Animation Resort - a frog family favorite!","undercover tourist, hotels, resorts, disney's art of animation resort, deluxe resorts, value resorts, moderate resorts, villas, walt disney world, discounts, family vacations, disney's animal kingdom, magic kingdom, epcot, disney's hollywood studios, lake buena vista, florida, theme parks, travel, tourism, amusement parks, save money","Banner","N/A","N/A","25-Apr-2023","<a href=""https://www.jdoqocy.com/click-101693488-12505706"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101693488-12505706"" width=""160"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586584?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-12505706","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","2331765","Gatorland & Screamin' Gator Zip Line Ticket","Gatorland Tickets - Save Time & Money","Gatorland Tickets, Gatorland, Gatorland Tickets Discount, Discount Gatorland Tickets","Text Link","$23.16 USD","$44.89 USD","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-2331765"" target=""_top"">Gatorland Tickets - Save Time & Money</a><img src=""https://www.tqlkg.com/image-101693488-2331765"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586577?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-2331765","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12505718","Save money on Disney's Coronado Springs Resort! 300x600","Cozy up to savings and save money on Disney's Coronado Springs Resort - a frog family favorite!
","undercover tourist, hotels, resorts, disney's coronado springs resort, deluxe resorts, value resorts, moderate resorts, villas, walt disney world, discounts, family vacations, disney's animal kingdom, magic kingdom, epcot, disney's hollywood studios, lake buena vista, florida, theme parks, travel, tourism, amusement parks, save money","Banner","N/A","N/A","25-Apr-2023","<a href=""https://www.jdoqocy.com/click-101693488-12505718"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101693488-12505718"" width=""300"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57586586?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12505718","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12521347","Undercover Tourist - 728x90","Now offering Disney hotels, car rentals and Orlando & Southern California discount attraction tickets! Shop Disney tickets at discount prices with free shipping, the nicest refund policy and great customer service from Undercover Tourist.","discount prices, free shipping, nicest refund policy, great customer service, undercover tourist, disney world, southern california, orlando, magic kingdom, theme parks, discount attraction tickets, hotels, car rentals, epcot, disney's animal kingdom, disney's hollywood studios, lowest prices, price rise, tickets, roller coasters, travel, tourism, aquarium, seaworld, universal studios","Banner","$6.79 USD","N/A","25-Apr-2023","<a href=""https://www.jdoqocy.com/click-101693488-12521347"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101693488-12521347"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586587?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12521347","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12540781","Save up to $43 LEGOLAND Florida Resort tickets!","Save up to $43 on LEGOLAND Florida Resort tickets.","legoland florida, orlando, florida, winter haven, roller coasters, undercover tourist, travel, attractions, theme parks, amusement parks, family vacations, tourism, savings, save money, save time, LEGO, disney world","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-12540781"" target=""_top"">Save up to $43 on LEGOLAND Florida Resort tickets!</a><img src=""https://www.ftjcfx.com/image-101693488-12540781"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586590?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-12540781","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12581505","Save $32 on 2-Day Universal Orlando Park-to-Park Ticket!","Save $32 on 2-Day Universal Orlando Park-to-Park Ticket. ","universal studios, islands of adventure, undercover tourist, universal orlando resort, volcano bay, theme parks, water parks, discount tickets, save time, save money, wizarding world of harry potter, orlando, florida, family vacations, roller coasters, disney world","Text Link","$9.33 USD","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-12581505"" target=""_top"">Save $32 on 3-Park 2-Day Universal Orlando Park-to-Park Ticket! Visit Islands of Adventure and Universal Studios!</a><img src=""https://www.lduhtrp.net/image-101693488-12581505"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586591?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12581505","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12755980","Save $15 on Blue Man Group Orlando Tier 2 Seating!","Save $15 on Blue Man Group Orlando Tier 2 Seating. This ticket is non-refundable.","blue man group, universal orlando, universal studios, islands of adventure, orlando, florida, undercover tourist, theme parks, amusement parks, family vacations, save time, save money, discount tickets, entertainment, comedy, music group, walt disney world","Text Link","$19.69 USD","$0.00 USD","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-12755980"" target=""_top"">Save $15 on Blue Man Group Orlando Tier 2 Seating!</a><img src=""https://www.awltovhc.com/image-101693488-12755980"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586592?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-12755980","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12783539","Save $53 on Disney World 4-Day Park Hopper!","Save $53 on a Disney World 4-Day Park Hopper! Hop through all 4 parks.","undercover tourist, walt disney world resort, park hopper ticket, discount tickets, theme parks, amusement parks, magic kingdom, disney's hollywood studios, epcot, disney's animal kingdom, save time, save money, family vacations, skip the lines, florida, orlando, lake buena vista, disney springs, resorts, travel, tourism, attractions, cinderella castle, mickey mouse","Text Link","$0.26 USD","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-12783539"" target=""_top"">Save $53on a Disney World 4-Day Park Hopper! Hop through all 4 parks.</a><img src=""https://www.ftjcfx.com/image-101693488-12783539"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586594?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-12783539","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12834895","Save $53 on Universal 2-Day Park to Park, get an extra day!","Save $53 on Universal 2-Park 2-Day Park to Park, get an extra day!","universal studios florida, universal orlando, undercover tourist, islands of adventure, wizarding world of harry potter, walt disney world resort, theme park tickets, discount tickets, amusement parks, roller coaster, orlando, florida, magic kingdom, hotels, resorts, family vacations, skip the lines, save time, save money","Text Link","$3.39 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-12834895"" target=""_top"">Save $53 on Universal 2-Park 2-Day Park to Park, get an extra day!</a><img src=""https://www.tqlkg.com/image-101693488-12834895"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57586596?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-12834895","N/A","","","","Vacation","684659","Active","English","No"
